  184CHOL    C1 2159   2.509   4.342   5.132 -0.2372  0.2505 -0.2536
  184CHOL    C2 2160   2.284   4.101   4.954  0.0338  0.0104  0.0027
  185CHOL   ROH 2161   6.685   8.248   6.398  0.0911 -0.0737  0.0151
  185CHOL    R1 2162   6.781   8.075   6.194  0.0881  0.0481 -0.0904
  185CHOL    R2 2163   6.613   7.951   6.012  0.0753  0.0606 -0.0770
  185CHOL    R3 2164   6.778   8.069   5.831 -0.0347  0.1938 -0.0961
  185CHOL    R4 2165   6.620   7.878   5.674  0.1763 -0.0469 -0.0536
  185CHOL    R5 2166   6.837   7.893   5.681  0.1741  0.1984 -0.0351
  185CHOL    C1 2167   6.779   7.946   5.308  0.1320  0.0156 -0.0580
  185CHOL    C2 2168   6.883   8.013   4.972  0.2440 -0.0232  0.0228
  186CHOL   ROH 2169   7.390   4.363   6.447  0.0017  0.1582  0.0723
  186CHOL    R1 2170   7.545   4.419   6.216 -0.0218  0.1130  0.0438
  186CHOL    R2 2171   7.473   4.335   5.962 -0.0900  0.1268  0.0510
  186CHOL    R3 2172   7.498   4.598   5.904 -0.0322  0.1208  0.0525
  186CHOL    R4 2173   7.554   4.462   5.652 -0.1060  0.1282  0.0481
  186CHOL    R5 2174   7.680   4.609   5.750 -0.0591  0.0884  0.0281
  186CHOL    C1 2175   7.625   4.784   5.416 -0.0611  0.1232  0.0478
  186CHOL    C2 2176   7.585   4.911   5.075 -0.0436 -0.3170 -0.1449
  187CHOL   ROH 2177  10.947   0.665   6.757 -0.2320  0.0269 -0.1501
  187CHOL    R1 2178  10.979   0.738   6.485 -0.2483  0.0416 -0.1502
  187CHOL    R2 2179  11.163   0.614   6.318 -0.1044  0.1885 -0.1197
  187CHOL    R3 2180  10.944   0.573   6.163 -0.0500 -0.0130 -0.1447
  187CHOL    R4 2181  11.169   0.548   5.979 -0.0078  0.0782 -0.0958
  187CHOL    R5 2182  10.997   0.678   5.955 -0.0902 -0.0494 -0.1689
  187CHOL    C1 2183  10.967   0.472   5.636  0.0995 -0.1753 -0.1055
  187CHOL    C2 2184  10.943   0.445   5.217  0.0445  0.1803 -0.0050
